web_scraper_order,web_scraper_start_url,モデルナンバー,備考1,買取価格,time-scraped
1761804070-1,https://www.twinkle-mobile.co.jp/index.php?Category=apple#Search_list,モデルナンバー,備考,買取価格,2025-10-30 15:01:10
1761804070-2,https://www.twinkle-mobile.co.jp/index.php?Category=apple#Search_list,【apple store版＆キャリア版】iPhone17 Pro&iPhone17 Pro Max,,,2025-10-30 15:01:10
1761804070-3,https://www.twinkle-mobile.co.jp/index.php?Category=apple#Search_list,iPhone17 Pro 256GB 未開封,"全色
※開封品 ¥162,000","￥176,000",2025-10-30 15:01:10
1761804070-4,https://www.twinkle-mobile.co.jp/index.php?Category=apple#Search_list,iPhone17 Pro 512GB 未開封,"全色
※開封品 ¥195,000","￥212,000",2025-10-30 15:01:10
1761804070-5,https://www.twinkle-mobile.co.jp/index.php?Category=apple#Search_list,iPhone17 Pro 1TB 未開封,"全色
※開封品 ¥229,500","￥245,000",2025-10-30 15:01:10
1761804070-6,https://www.twinkle-mobile.co.jp/index.php?Category=apple#Search_list,iPhone17 Pro Max 256GB 未開封,"orange-1000円
※開封品 ¥183,000","￥198,000",2025-10-30 15:01:10
1761804070-7,https://www.twinkle-mobile.co.jp/index.php?Category=apple#Search_list,iPhone17 Pro Max 512GB 未開封,"Silver ¥230,500
Blue ¥229,000
※開封品 ¥216,500","￥230,500",2025-10-30 15:01:10
1761804070-8,https://www.twinkle-mobile.co.jp/index.php?Category=apple#Search_list,iPhone17 Pro Max 1TB 未開封,"全色
※開封品 ¥252,000","￥263,000",2025-10-30 15:01:10
1761804070-9,https://www.twinkle-mobile.co.jp/index.php?Category=apple#Search_list,iPhone17 Pro Max 2TB 未開封,"全色
※開封品 ¥303,000","￥314,000",2025-10-30 15:01:10
1761804070-10,https://www.twinkle-mobile.co.jp/index.php?Category=apple#Search_list,【apple store版＆キャリア版】iPhone Air,,,2025-10-30 15:01:10
1761804070-11,https://www.twinkle-mobile.co.jp/index.php?Category=apple#Search_list,iPhone Air 256GB 未開封,"全色
※開封品 ¥115,000","￥131,000",2025-10-30 15:01:10
1761804070-12,https://www.twinkle-mobile.co.jp/index.php?Category=apple#Search_list,iPhone Air 512GB 未開封,"全色
※開封品 ¥123,000","￥146,000",2025-10-30 15:01:10
1761804070-13,https://www.twinkle-mobile.co.jp/index.php?Category=apple#Search_list,iPhone Air 1TB 未開封,"全色
※開封品 ¥135,000","￥155,000",2025-10-30 15:01:10
1761804070-14,https://www.twinkle-mobile.co.jp/index.php?Category=apple#Search_list,【apple store版＆キャリア版】iPhone17,,,2025-10-30 15:01:10
1761804070-15,https://www.twinkle-mobile.co.jp/index.php?Category=apple#Search_list,iPhone17 256GB 未開封,"全色
※開封品 ¥107,000","￥129,000",2025-10-30 15:01:10
1761804070-16,https://www.twinkle-mobile.co.jp/index.php?Category=apple#Search_list,iPhone17 512GB 未開封,"全色
※開封品 ¥135,000","￥159,000",2025-10-30 15:01:10
1761804070-17,https://www.twinkle-mobile.co.jp/index.php?Category=apple#Search_list,【apple store版＆キャリア版】iPhone16 Pro&iPhone16 Pro Max,,,2025-10-30 15:01:10
1761804070-18,https://www.twinkle-mobile.co.jp/index.php?Category=apple#Search_list,iPhone16 Pro 128GB 未開封,"全色
※開封品 ¥135,000","￥153,000",2025-10-30 15:01:10
1761804070-19,https://www.twinkle-mobile.co.jp/index.php?Category=apple#Search_list,iPhone16 Pro 256GB 未開封,"全色
※開封品 ¥155,000","￥173,500",2025-10-30 15:01:10
1761804070-20,https://www.twinkle-mobile.co.jp/index.php?Category=apple#Search_list,iPhone16 Pro 512GB 未開封,"全色
※開封品 ¥183,000","￥200,500",2025-10-30 15:01:10
1761804070-21,https://www.twinkle-mobile.co.jp/index.php?Category=apple#Search_list,iPhone16 Pro 1TB 未開封,"全色
※開封品 ¥202,500","￥218,500",2025-10-30 15:01:10
1761804070-22,https://www.twinkle-mobile.co.jp/index.php?Category=apple#Search_list,iPhone16 Pro Max 256GB 未開封,"全色
※開封品 ¥168,000","￥182,500",2025-10-30 15:01:10
