web_scraper_order,web_scraper_start_url,iPhone 17 Pro Max,説明1,買取価格,ランク別の価格※ 買取方法,time-scraped
1761806545-1,https://www.keitai-space.jp/kaitori1/,"iPhoneの買取、以下の条件を満たしていないの場合は、買取できない可能性がありますので、ご了承ください。
				
					① Apple　IDやApple　iCloudの設定を行っている場合必ず削除・リセット。
				
					② アクティベーションの設定完了状態 。
				
					③ バッテリの状態が20％以上残量ある。
				
					※ 予約必須・台数限定となります。
				
					※ simロック解除の場合は解除証明を提示（添付）下さい。
				
					※ Apple ストア版(未開封)は、imei番号を載ってある購入証明が必須です。
				
					※ ネットワーク利用制限が〇になっていない場合は減額になります（一部機種除き）。
				
					※ 未開封品は、メーカ保証が始まると減額対象になります。（ ※ 再封印の場合は買取不可 ）
				
					※ 開封済　未使用品は、メーカ保証が残り９か月以上でない場合は減額対象になります。
				
					※ 買取相場は随時変動があるのため下記価格は、あくまで参考価格となりますので、保証するものではありません。",,,,2025-10-30 15:42:25
1761806545-2,https://www.keitai-space.jp/kaitori1/,iPhone 17 Pro Max,説明,買取価格,,2025-10-30 15:42:25
1761806545-3,https://www.keitai-space.jp/kaitori1/,"iPhone 17 Pro Max
				256GB",SIMFREE  未開封,"￥197000
				
					オレンジ-1000",,2025-10-30 15:42:25
1761806545-4,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥176000,,,2025-10-30 15:42:25
1761806545-5,https://www.keitai-space.jp/kaitori1/,"iPhone 17 Pro Max
				512GB",SIMFREE  未開封,"￥230500
				
					オレンジ/青 -1500",,2025-10-30 15:42:25
1761806545-6,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥210000,,,2025-10-30 15:42:25
1761806545-7,https://www.keitai-space.jp/kaitori1/,"iPhone 17 Pro Max
				1TB",SIMFREE  未開封,"￥260000
				
					  青-3000/銀-3000",,2025-10-30 15:42:25
1761806545-8,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥241000,,,2025-10-30 15:42:25
1761806545-9,https://www.keitai-space.jp/kaitori1/,"iPhone 17 Pro Max
				2TB",SIMFREE  未開封,￥314200,,2025-10-30 15:42:25
1761806545-10,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥290000,,,2025-10-30 15:42:25
1761806545-11,https://www.keitai-space.jp/kaitori1/,iPhone 17 Pro,説明,買取価格,,2025-10-30 15:42:25
1761806545-12,https://www.keitai-space.jp/kaitori1/,"iPhone 17 Pro
				
					256GB",SIMFREE  未開封,"￥177000
				
					オレンジ-1000",,2025-10-30 15:42:25
1761806545-13,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥157000,,,2025-10-30 15:42:25
1761806545-14,https://www.keitai-space.jp/kaitori1/,"iPhone 17 Pro
				
					512GB",SIMFREE  未開封,"￥213000
				
					オレンジ-1000",,2025-10-30 15:42:25
1761806545-15,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥191000,,,2025-10-30 15:42:25
1761806545-16,https://www.keitai-space.jp/kaitori1/,"iPhone 17 Pro
				
					1TB",SIMFREE  未開封,￥245200,,2025-10-30 15:42:25
1761806545-17,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥227000,,,2025-10-30 15:42:25
1761806545-18,https://www.keitai-space.jp/kaitori1/,iPhone Air,説明,買取価格,,2025-10-30 15:42:25
1761806545-19,https://www.keitai-space.jp/kaitori1/,iPhone Air 256GB,SIMFREE  未開封,￥131700,,2025-10-30 15:42:25
1761806545-20,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥102200,,,2025-10-30 15:42:25
1761806545-21,https://www.keitai-space.jp/kaitori1/,iPhone Air 512GB,SIMFREE  未開封,￥146700,,2025-10-30 15:42:25
1761806545-22,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥119200,,,2025-10-30 15:42:25
1761806545-23,https://www.keitai-space.jp/kaitori1/,iPhone Air 1TB,SIMFREE  未開封,￥156000,,2025-10-30 15:42:25
1761806545-24,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥134200,,,2025-10-30 15:42:25
1761806545-25,https://www.keitai-space.jp/kaitori1/,iPhone 17,説明,買取価格,,2025-10-30 15:42:25
1761806545-26,https://www.keitai-space.jp/kaitori1/,iPhone 17 256GB,SIMFREE  未開封,￥129000,,2025-10-30 15:42:25
1761806545-27,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥107000,,,2025-10-30 15:42:25
1761806545-28,https://www.keitai-space.jp/kaitori1/,iPhone 17 512GB,SIMFREE  未開封,￥159200,,2025-10-30 15:42:25
1761806545-29,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥135000,,,2025-10-30 15:42:25
1761806545-30,https://www.keitai-space.jp/kaitori1/,iPhone 16 Pro Max,説明,買取価格,,2025-10-30 15:42:25
1761806545-31,https://www.keitai-space.jp/kaitori1/,"iPhone 16 Pro Max
				256GB",SIMFREE  未開封,"￥186100
				
					  金/黒/灰 -3000",,2025-10-30 15:42:25
1761806545-32,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥169500,,,2025-10-30 15:42:25
1761806545-33,https://www.keitai-space.jp/kaitori1/,"iPhone 16 Pro Max
				512GB",SIMFREE  未開封,"￥214100
				
					   金/黒/灰 -2000",,2025-10-30 15:42:25
1761806545-34,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥197500,,,2025-10-30 15:42:25
1761806545-35,https://www.keitai-space.jp/kaitori1/,"iPhone 16 Pro Max
				1TB",SIMFREE  未開封,￥242100,,2025-10-30 15:42:25
1761806545-36,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥223500,,,2025-10-30 15:42:25
1761806545-37,https://www.keitai-space.jp/kaitori1/,iPhone 16 Pro,説明,買取価格,,2025-10-30 15:42:25
1761806545-38,https://www.keitai-space.jp/kaitori1/,"iPhone 16 Pro
				128GB",SIMFREE  未開封,￥158000,,2025-10-30 15:42:25
1761806545-39,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥139000,,,2025-10-30 15:42:25
1761806545-40,https://www.keitai-space.jp/kaitori1/,"iPhone 16 Pro
				256GB",SIMFREE  未開封,￥177500,,2025-10-30 15:42:25
1761806545-41,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥158000,,,2025-10-30 15:42:25
1761806545-42,https://www.keitai-space.jp/kaitori1/,"iPhone 16 Pro
				512GB",SIMFREE  未開封,￥204000,,2025-10-30 15:42:25
1761806545-43,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥186000,,,2025-10-30 15:42:25
1761806545-44,https://www.keitai-space.jp/kaitori1/,"iPhone 16 Pro
				1TB",SIMFREE  未開封,￥222000,,2025-10-30 15:42:25
1761806545-45,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥203000,,,2025-10-30 15:42:25
1761806545-46,https://www.keitai-space.jp/kaitori1/,iPhone 16 Plus,説明,買取価格,,2025-10-30 15:42:25
1761806545-47,https://www.keitai-space.jp/kaitori1/,"iPhone 16 Plus
				128GB",SIMFREE  未開封,￥107200,,2025-10-30 15:42:25
1761806545-48,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥100000,,,2025-10-30 15:42:25
1761806545-49,https://www.keitai-space.jp/kaitori1/,"iPhone 16 Plus
				256GB",SIMFREE  未開封,￥120000,,2025-10-30 15:42:25
1761806545-50,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥110500,,,2025-10-30 15:42:25
1761806545-51,https://www.keitai-space.jp/kaitori1/,"iPhone 16 Plus
				512GB",SIMFREE  未開封,￥127600,,2025-10-30 15:42:25
1761806545-52,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥118500,,,2025-10-30 15:42:25
1761806545-53,https://www.keitai-space.jp/kaitori1/,iPhone 16,説明,買取価格,,2025-10-30 15:42:25
1761806545-54,https://www.keitai-space.jp/kaitori1/,iPhone 16 128GB,SIMFREE  未開封,"￥97300
				
					  黒/白/ピンク -1000",,2025-10-30 15:42:25
1761806545-55,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥85000,,,2025-10-30 15:42:25
1761806545-56,https://www.keitai-space.jp/kaitori1/,iPhone 16 256GB,SIMFREE  未開封,￥116600,,2025-10-30 15:42:25
1761806545-57,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥105100,,,2025-10-30 15:42:25
1761806545-58,https://www.keitai-space.jp/kaitori1/,iPhone 16 512GB,SIMFREE  未開封,￥129000,,2025-10-30 15:42:25
1761806545-59,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥118000,,,2025-10-30 15:42:25
1761806545-60,https://www.keitai-space.jp/kaitori1/,iPhone 16e,説明,買取価格,,2025-10-30 15:42:25
1761806545-61,https://www.keitai-space.jp/kaitori1/,iPhone 16e 128GB,SIMFREE  未開封,￥86100,,2025-10-30 15:42:25
1761806545-62,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥80300,,,2025-10-30 15:42:25
1761806545-63,https://www.keitai-space.jp/kaitori1/,iPhone 16e 256GB,SIMFREE  未開封,￥99000,,2025-10-30 15:42:25
1761806545-64,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥93000,,,2025-10-30 15:42:25
1761806545-65,https://www.keitai-space.jp/kaitori1/,iPhone 16e 512GB,SIMFREE  未開封,￥112000,,2025-10-30 15:42:25
1761806545-66,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥106000,,,2025-10-30 15:42:25
1761806545-67,https://www.keitai-space.jp/kaitori1/,iphone 15 Pro Max,説明,買取価格,,2025-10-30 15:42:25
1761806545-68,https://www.keitai-space.jp/kaitori1/,"iphone 15 Pro Max
				256GB",SIMFREE  未開封,￥158000,,2025-10-30 15:42:25
1761806545-69,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥145000,,,2025-10-30 15:42:25
1761806545-70,https://www.keitai-space.jp/kaitori1/,"iphone 15 Pro Max
				512GB",SIMFREE  未開封,￥170000,,2025-10-30 15:42:25
1761806545-71,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥156000,,,2025-10-30 15:42:25
1761806545-72,https://www.keitai-space.jp/kaitori1/,"iphone 15 Pro Max
				1TB",SIMFREE  未開封,￥176000,,2025-10-30 15:42:25
1761806545-73,https://www.keitai-space.jp/kaitori1/,SIMFREE 開封,￥161000,,,2025-10-30 15:42:25
1761806545-74,https://www.keitai-space.jp/kaitori1/,iphone 15 Pro,説明,買取価格,,2025-10-30 15:42:25
