web_scraper_order,web_scraper_start_url,機種名,買取価格,色・詳細等,time-scraped
1762225797-1,https://akiba-mobile.co.jp/,,,,2025-11-04 12:09:57
1762225797-2,https://akiba-mobile.co.jp/,iPhone17 Pro 256GB,"177,000円","未開 橙,青175,000/銀177,000",2025-11-04 12:09:57
1762225797-3,https://akiba-mobile.co.jp/,iPhone17 Pro 512GB,"213,000円","未開 橙,青212,000/銀213,000",2025-11-04 12:09:57
1762225797-4,https://akiba-mobile.co.jp/,iPhone17 Pro 1TB,"244,000円",未開封品 全色,2025-11-04 12:09:57
1762225797-5,https://akiba-mobile.co.jp/,iPhone17 Pro Max 256GB,"195,000円","未開 橙193,000/青,銀195,000",2025-11-04 12:09:57
1762225797-6,https://akiba-mobile.co.jp/,iPhone17 Pro Max 512GB,"228,000円","未開 橙227,000/青,銀228,000",2025-11-04 12:09:57
1762225797-7,https://akiba-mobile.co.jp/,iPhone17 ProMax 1TB,"260,000円",未開封品 全色,2025-11-04 12:09:57
1762225797-8,https://akiba-mobile.co.jp/,iPhone17 Pro Max 2TB,"313,000円","未開 橙313,000/青,銀310,000",2025-11-04 12:09:57
1762225797-9,https://akiba-mobile.co.jp/,iPhone Air 256GB,"132,000円",未開封品 全色,2025-11-04 12:09:57
1762225797-10,https://akiba-mobile.co.jp/,iPhone17 256GB,"131,000円",未開封品 全色,2025-11-04 12:09:57
