model,storage_name,caution_empty,caution_notice,condition_unopened,price_unopened,time-scraped
iPhone17 Pro,iPhone17 Pro 256GB,,,未開封買取価格,"178,000円",2025-12-02 05:10:41.542574+00:00
iPhone17 Pro,iPhone17 Pro 512GB,,,未開封買取価格,"209,500円",2025-12-02 05:10:41.542704+00:00
iPhone17 Pro,iPhone17 Pro 1TB,,,未開封買取価格,"242,000円",2025-12-02 05:10:41.542801+00:00
iPhone17 Pro Max,iPhone17 Pro Max 256GB,,,未開封買取価格,"192,500円",2025-12-02 05:10:41.543034+00:00
iPhone17 Pro Max,iPhone17 Pro Max 512GB,,,未開封買取価格,"227,000円",2025-12-02 05:10:41.543148+00:00
iPhone17 Pro Max,iPhone17 Pro Max 1TB,,,未開封買取価格,"261,000円",2025-12-02 05:10:41.543243+00:00
iPhone17 Pro Max,iPhone17 Pro Max 2TB,,,未開封買取価格,"315,000円",2025-12-02 05:10:41.543336+00:00
iPhone17,iPhone17 256GB,,,未開封買取価格,"129,000円",2025-12-02 05:10:41.543518+00:00
iPhone17,iPhone17 512GB,,,未開封買取価格,"160,000円",2025-12-02 05:10:41.543610+00:00
iPhoneAir,iPhoneAir 256GB,"ブルー・ゴールド： -2,000円(未開封)",,未開封買取価格,"139,000円",2025-12-02 05:10:41.543821+00:00
iPhoneAir,iPhoneAir 512GB,"ブルー・ブラック： -2,000円(未開封)",,未開封買取価格,"150,000円",2025-12-02 05:10:41.543912+00:00
iPhoneAir,iPhoneAir 1TB,"ブルー・ブラック： -2,000円(未開封)",,未開封買取価格,"154,000円",2025-12-02 05:10:41.544002+00:00
iPhone16 Pro,iPhone16 Pro 128GB,,,未開封買取価格,"149,500円",2025-12-02 05:10:41.544227+00:00
iPhone16 Pro,iPhone16 Pro 256GB,,,未開封買取価格,"172,500円",2025-12-02 05:10:41.544322+00:00
iPhone16 Pro,iPhone16 Pro 512GB,,,未開封買取価格,"198,000円",2025-12-02 05:10:41.544413+00:00
iPhone16 Pro,iPhone16 Pro 1TB,,,未開封買取価格,"215,000円",2025-12-02 05:10:41.544506+00:00
iPhone16 Pro Max,iPhone16 Pro Max 256GB,,,未開封買取価格,"181,500円",2025-12-02 05:10:41.544704+00:00
iPhone16 Pro Max,iPhone16 Pro Max 512GB,,,未開封買取価格,"209,000円",2025-12-02 05:10:41.545649+00:00
iPhone16 Pro Max,iPhone16 Pro Max 1TB,,,未開封買取価格,"238,000円",2025-12-02 05:10:41.545757+00:00
iPhone16,iPhone16 128GB,,,未開封買取価格,"94,000円",2025-12-02 05:10:41.545961+00:00
iPhone16,iPhone16 256GB,,,未開封買取価格,"110,500円",2025-12-02 05:10:41.546051+00:00
iPhone16,iPhone16 512GB,,,未開封買取価格,"117,500円",2025-12-02 05:10:41.546142+00:00
iPhone16 Plus,iPhone16 Plus 128GB,,,未開封買取価格,"105,000円",2025-12-02 05:10:41.546344+00:00
iPhone16 Plus,iPhone16 Plus 256GB,,,未開封買取価格,"119,000円",2025-12-02 05:10:41.546434+00:00
iPhone16 Plus,iPhone16 Plus 512GB,,,未開封買取価格,"125,000円",2025-12-02 05:10:41.546522+00:00
iPhone16e,iPhone16e 128GB,,,未開封買取価格,"71,000円",2025-12-02 05:10:41.546725+00:00
iPhone16e,iPhone16e 256GB,,,未開封買取価格,"83,000円",2025-12-02 05:10:41.547089+00:00
iPhone16e,iPhone16e 512GB,,,未開封買取価格,"94,000円",2025-12-02 05:10:41.547184+00:00
iPhone15 Pro,iPhone15 Pro 128GB,,,未開封買取価格,"126,000円",2025-12-02 05:10:41.547415+00:00
iPhone15 Pro,iPhone15 Pro 256GB,,,未開封買取価格,"136,000円",2025-12-02 05:10:41.547505+00:00
iPhone15 Pro,iPhone15 Pro 512GB,,,未開封買取価格,"146,000円",2025-12-02 05:10:41.547593+00:00
iPhone15 Pro,iPhone15 Pro 1TB,,,未開封買取価格,"156,000円",2025-12-02 05:10:41.547682+00:00
iPhone15 Pro Max,iPhone15 Pro Max 256GB,,,未開封買取価格,"151,000円",2025-12-02 05:10:41.547879+00:00
iPhone15 Pro Max,iPhone15 Pro Max 512GB,,,未開封買取価格,"163,000円",2025-12-02 05:10:41.547967+00:00
iPhone15 Pro Max,iPhone15 Pro Max 1TB,,,未開封買取価格,"170,000円",2025-12-02 05:10:41.548055+00:00
iPhone15,iPhone15 128GB,,,未開封買取価格,"81,000円",2025-12-02 05:10:41.548254+00:00
iPhone15,iPhone15 256GB,,,未開封買取価格,"90,000円",2025-12-02 05:10:41.548342+00:00
iPhone15,iPhone15 512GB,,,未開封買取価格,"98,000円",2025-12-02 05:10:41.548430+00:00
iPhone15 Plus,iPhone15 Plus 128GB,,,未開封買取価格,"94,000円",2025-12-02 05:10:41.548625+00:00
iPhone15 Plus,iPhone15 Plus 256GB,,,未開封買取価格,"104,000円",2025-12-02 05:10:41.548714+00:00
iPhone15 Plus,iPhone15 Plus 512GB,,,未開封買取価格,"110,000円",2025-12-02 05:10:41.548800+00:00
iPhone14 Pro,iPhone14 Pro 128GB,,,未開封買取価格,"69,000円",2025-12-02 05:10:41.549021+00:00
iPhone14 Pro,iPhone14 Pro 256GB,,,未開封買取価格,"76,000円",2025-12-02 05:10:41.549110+00:00
iPhone14 Pro,iPhone14 Pro 512GB,,,未開封買取価格,"78,000円",2025-12-02 05:10:41.549198+00:00
iPhone14 Pro,iPhone14 Pro 1TB,,,未開封買取価格,"82,000円",2025-12-02 05:10:41.549285+00:00
iPhone14 Pro Max,iPhone14 Pro Max 128GB,,,未開封買取価格,"82,000円",2025-12-02 05:10:41.549505+00:00
iPhone14 Pro Max,iPhone14 Pro Max 256GB,,,未開封買取価格,"87,000円",2025-12-02 05:10:41.549593+00:00
iPhone14 Pro Max,iPhone14 Pro Max 512GB,,,未開封買取価格,"92,000円",2025-12-02 05:10:41.549681+00:00
iPhone14 Pro Max,iPhone14 Pro Max 1TB,,,未開封買取価格,"94,000円",2025-12-02 05:10:41.549769+00:00
iPhone14,iPhone14 128GB,"イエロー、レッド：-2,000円(未開封)",,未開封買取価格,"68,000円",2025-12-02 05:10:41.549969+00:00
iPhone14,iPhone14 256GB,,,未開封買取価格,"75,000円",2025-12-02 05:10:41.550059+00:00
iPhone14,iPhone14 512GB,,,未開封買取価格,"79,000円",2025-12-02 05:10:41.550145+00:00
iPhone14 Plus,iPhone14 Plus 128GB,,,未開封買取価格,"56,000円",2025-12-02 05:10:41.550346+00:00
iPhone14 Plus,iPhone14 Plus 256GB,,,未開封買取価格,"60,000円",2025-12-02 05:10:41.550435+00:00
iPhone14 Plus,iPhone14 Plus 512GB,,,未開封買取価格,"62,000円",2025-12-02 05:10:41.550522+00:00
iPhoneSE3,iPhoneSE3 64GB,,,未開封買取価格,"45,000円",2025-12-02 05:10:41.550719+00:00
iPhoneSE3,iPhoneSE3 128GB,,,未開封買取価格,"47,000円",2025-12-02 05:10:41.550807+00:00
iPhoneSE3,iPhoneSE3 256GB,,,未開封買取価格,"51,000円",2025-12-02 05:10:41.550894+00:00
iPhone13 Pro Max,iPhone13 Pro Max 128GB,,,未開封買取価格,"61,000円",2025-12-02 05:10:41.551116+00:00
iPhone13 Pro Max,iPhone13 Pro Max 256GB,,,未開封買取価格,"66,000円",2025-12-02 05:10:41.551204+00:00
iPhone13 Pro Max,iPhone13 Pro Max 512GB,,,未開封買取価格,"71,000円",2025-12-02 05:10:41.551290+00:00
iPhone13 Pro Max,iPhone13 Pro Max 1TB,,,未開封買取価格,"75,000円",2025-12-02 05:10:41.551383+00:00
iPhone13 Pro,iPhone13 Pro 128GB,,,未開封買取価格,"51,500円",2025-12-02 05:10:41.551601+00:00
iPhone13 Pro,iPhone13 Pro 256GB,,,未開封買取価格,"58,000円",2025-12-02 05:10:41.551690+00:00
iPhone13 Pro,iPhone13 Pro 512GB,,,未開封買取価格,"61,000円",2025-12-02 05:10:41.551787+00:00
iPhone13 Pro,iPhone13 Pro 1TB,,,未開封買取価格,"64,000円",2025-12-02 05:10:41.551873+00:00
iPhone13 mini,iPhone13 mini 128GB,,,未開封買取価格,"33,000円",2025-12-02 05:10:41.552070+00:00
iPhone13 mini,iPhone13 mini 256GB,,,未開封買取価格,"42,000円",2025-12-02 05:10:41.552159+00:00
iPhone13 mini,iPhone13 mini 512GB,,,未開封買取価格,"47,000円",2025-12-02 05:10:41.552480+00:00
iPhone13,iPhone13 128GB,,,未開封買取価格,"40,500円",2025-12-02 05:10:41.552683+00:00
iPhone13,iPhone13 256GB,,,未開封買取価格,"43,500円",2025-12-02 05:10:41.552773+00:00
iPhone13,iPhone13 512GB,,,未開封買取価格,"45,500円",2025-12-02 05:10:41.552864+00:00
iPhone12 mini,iPhone12 mini 64GB,,,未開封買取価格,"19,500円",2025-12-02 05:10:41.553061+00:00
iPhone12 mini,iPhone12 mini 128GB,,,未開封買取価格,"21,500円",2025-12-02 05:10:41.553151+00:00
iPhone12 mini,iPhone12 mini 256GB,,,未開封買取価格,"25,500円",2025-12-02 05:10:41.553241+00:00
iPhone12,iPhone12 64GB,,,未開封買取価格,"27,000円",2025-12-02 05:10:41.553438+00:00
iPhone12,iPhone12 128GB,,,未開封買取価格,"31,000円",2025-12-02 05:10:41.553527+00:00
iPhone12,iPhone12 256GB,,,未開封買取価格,"33,000円",2025-12-02 05:10:41.553616+00:00
iPhone12 Pro,iPhone12 Pro 128GB,,,未開封買取価格,"35,000円",2025-12-02 05:10:41.553803+00:00
iPhone12 Pro,iPhone12 Pro 256GB,,,未開封買取価格,"38,000円",2025-12-02 05:10:41.553889+00:00
iPhone12 Pro,iPhone12 Pro 512GB,,,未開封買取価格,"39,000円",2025-12-02 05:10:41.553973+00:00
iPhone12 Pro Max,iPhone12 Pro Max 128GB,,,未開封買取価格,"46,000円",2025-12-02 05:10:41.554160+00:00
iPhone12 Pro Max,iPhone12 Pro Max 256GB,,,未開封買取価格,"51,000円",2025-12-02 05:10:41.554247+00:00
iPhone12 Pro Max,iPhone12 Pro Max 512GB,,,未開封買取価格,"52,000円",2025-12-02 05:10:41.554331+00:00
iPhoneSE2,iPhoneSE2 64GB,,,未開封買取価格,"12,500円",2025-12-02 05:10:41.554522+00:00
iPhoneSE2,iPhoneSE2 128GB,,,未開封買取価格,"14,500円",2025-12-02 05:10:41.554605+00:00
iPhoneSE2,iPhoneSE2 256GB,,,未開封買取価格,"15,500円",2025-12-02 05:10:41.554686+00:00
iPhone11,iPhone11 64GB,,,未開封買取価格,"20,500円",2025-12-02 05:10:41.554868+00:00
iPhone11,iPhone11 128GB,,,未開封買取価格,"23,500円",2025-12-02 05:10:41.554952+00:00
iPhone11,iPhone11 256GB,,,未開封買取価格,"24,500円",2025-12-02 05:10:41.555033+00:00
iPhone11 Pro,iPhone11 Pro 64GB,,,未開封買取価格,"24,500円",2025-12-02 05:10:41.555215+00:00
iPhone11 Pro,iPhone11 Pro 256GB,,,未開封買取価格,"29,500円",2025-12-02 05:10:41.555297+00:00
iPhone11 Pro,iPhone11 Pro 512GB,,,未開封買取価格,"31,500円",2025-12-02 05:10:41.555379+00:00
iPhone11 Pro Max,iPhone11 Pro Max 64GB,,,未開封買取価格,"30,500円",2025-12-02 05:10:41.555562+00:00
iPhone11 Pro Max,iPhone11 Pro Max 256GB,,,未開封買取価格,"33,500円",2025-12-02 05:10:41.555644+00:00
